"prolific_id","acc_wolf_sheep_30"
"558fa9dffdf99b7ce2924662","81%"
"59402f40e9b44100013b1789","81%"
"594fa525f61b8e00016af178","44%"
"59664cebaf78da0001a22b4a","62%"
"5acb55010527ba0001c25592","69%"
"5b06ebe96f73510001fdb40e","75%"
"5bc4784e85214800017d8c1a","81%"
"5bca705b3d893f0001bf027d","81%"
"5bd781291fd7c80001bb1fad","81%"
"5bed50471f9cac0001734381","81%"
"5c04e3a04e1b7b00016ad9a3","75%"
"5c1550c32b16ba0001c95536","81%"
"5c2e15a5da51990001e446e0","69%"
"5c3f8bdf342ae0000111a3e1","50%"
"5c4318404d76b1000173d466","75%"
"5c549c6372fd9000018b5968","75%"
"5c716c2a7019c80001f35d9c","75%"
"5c71b17c891e3200012477a2","62%"
"5c90f5eae2d9fb0011385c58","81%"
"5ccff7a28c978d00177c5a71","81%"
"5ce47ee4209b8a00166e39ca","31%"
"5d25fd6e062efa0001833f04","81%"
"5d678b1609288100014849e8","81%"
"5d6bc6e499cd42001855fdf1","75%"
"5d77bc0a4503c30001c724b8","69%"
"5d7a275ae1980f0018725396","62%"
"5d891cd0a592de000185ca5b","44%"
"5db20e14aa1295000bd72015","56%"
"5def67a45c91a4000ef4739c","88%"
"5e45ad5adb671e0952ec6b86","88%"
"5e4940cc4cc99d3ad7baa236","44%"
"5e820827a0271f9119616fb8","44%"
"5e8783b0fde5153fbd9dca43","69%"
"5e9774d2837b810ebe32666e","88%"
"5e99da3ea467ef04d870e7a9","62%"
"5ea1965fc546e204bb568292","75%"
"5ea35bb82788e52de5e56b85","81%"
"5ea5ce7be9fb245c8d7deded","69%"
"5ea967689a2c7e0580282cca","88%"
"5eb28a3b9d99fc3dfffe4666","75%"
"5ebd3bbcecfc7d00085d0f9e","62%"
"5ec57530f348315719a6777f","75%"
"5ecc7b15ce3f4185e01acd04","56%"
"5ecd36c112aedc06518bd20a","56%"
"5ed2c4fe85676325a891de20","69%"
"5ed896a6b9f9f63aa5a75bc7","69%"
"5ede13094e77400127b0d8ac","62%"
"5eeb9d68ce7e763425ce2a8a","62%"
"5ef4860d22eb1d04bbcd9586","56%"
"5ef67612126bfa36576e1b03","75%"
"5f011910f1a82a26078ed6dd","88%"
"5f0214e58782120a8c970fd6","88%"
"5f338ba6ea047119dbd6e49e","100%"
"5f4155308b19382e4374df9f","81%"
"5f454ee36eaa951147ea3cb4","81%"
"5f4e7c5027d2a00631b19618","38%"
"5f4ec827c4909710bd484f3d","88%"
"5f563f5b79ddd10221fc7452","44%"
"5f578563765fec223eb51594","38%"
"5f5929c79792911399444356","50%"
"5f5b5881b17fa72756b8ff2a","12%"
"5f5c6c1652a92144dd9200ab","81%"
"5f7f239e9b204e05b6c36538","62%"
"5f9fcdb126b31261ba2364d8","31%"
"5fa15b45d6bf96229b16ca26","81%"
"5fa2778b2a444243cc61d9d8","50%"
"5fcca076e2e6deaf9f1055d7","69%"
"600590fcb602617e4e62e8c8","75%"
"60087f89ba0c184c6d305af9","81%"
"6010601cc932aa3661b459ec","75%"
"60113374795b0d000a98b896","0%"
"601575a1d735b36214c75f67","0%"
"601beff593007e61bdbdbdfc","69%"
"601dce9614595f204440da8f","75%"
"602d84ab3b8daf7e896ab146","50%"
"603235aece008c1eeab094fc","56%"
"604078ce258745279c0a0fed","75%"
"60407c013b795828d5280016","75%"
"604b528b95d6d998726f0bd9","44%"
"60571cc4ed2b0367b3e273b8","88%"
"605b838b80f022835fc293fb","12%"
"60725a51a6e4cf1831918847","12%"
"607477e95809f0c7fdc4d1f3","81%"
"607583e0c86113a48cbdc1e2","50%"
"6075f686075b047b4912896f","0%"
"60814ca10e453404aed130ea","88%"
"608930a9d426b23a7b53c710","81%"
"6099331dd68e8681d2c562ca","56%"
"609ae18d591adde470e996cc","69%"
"609d1db6e6624a23a8f99f0d","6%"
"60c1ea75ebea3c2153bb14fa","62%"
"60ca1c436511b9fc8ab35615","81%"
"60ccf2ea70e16324c450f531","56%"
"60d0913db036105dac42f0cc","94%"
"60dae077e62179eb469e32a4","94%"
"60db74fcb5f4526ce90594a1","19%"
"60e343a81a1fccbf93aa26e7","0%"
"60e9c7d6324bb82ccb1357e4","94%"
"60ed422f77c903379187954a","0%"
"60ed8d47a42dc5469f868b2a","56%"
"60ef2e52a188d9859f92bb58","69%"
"60f447a41f39e3b469f68f1e","56%"
"60f55467b3c1a738550ccd27","81%"
"60f958dea810a7a0cf3d14d9","0%"
"60faab6f9d9a835ba3b8327f","81%"
"60fbf828aa685c5d5fdc8dab","25%"
"60fd6891508b1a5f090f6337","62%"
"60ff9740c0716986284c41b3","75%"
"6102db96d41a4bf54acd678b","69%"
"610510ea2417b82e9a9b546c","62%"
"61086c2bfda98ba5d75b9db4","69%"
"6109262ae67d0b1d5ae85544","69%"
"6109b425508d9c8b84947e28","25%"
"6113e818f20ae6af8f92fc59","50%"
"61155c65e2f4511fd06bab01","56%"
"611cf79541223a8ee170a30f","6%"
"611d0249e8393016043b13c5","56%"
"611d1134bcc4eda812acf219","56%"
"611d3a09fcbb58f515c4bd0d","81%"
"611e662627fe84ce145a07cc","81%"
"611e69199102a9ea07155a4e","88%"
"611e8fbfd3f7c080df933947","56%"
"611ea1a15dbc12b56d64fd22","0%"
"611f5fca1c852d6d56e5bf8d","38%"
"61216c57c465b4c0b056f277","0%"
"612364605c7b6d1e7ba7b4f3","19%"
"6124ce846b7b3c7bab41bbb5","12%"
"612501bc1d444bcf3be30902","69%"
"61274c5d48457b27bb106961","19%"
"6128b6f850d39bf85a29211e","88%"
"6128bd8212d9c49351e1c453","75%"
"612a27c64944d23ec0408cd2","50%"
"612cb8236aa1cef2599e6f59","81%"
"612fd3da400557b971d45724","62%"
"6130cabbaf487a833fd4aebd","62%"
"6131da4d35598b1a6f36cb37","0%"
"61320a26c3013321c8d54600","6%"
"613281db9a635b97959e1751","62%"
"61350dca290dfe0321442542","69%"
"6137664fb23c5175515fa573","38%"
"6137b173cb7545edf5e05406","62%"
"613a8ef5d9b1e9edad809487","69%"
"61403ccaf15c48625b82ec6b","0%"
"61419f660a2296e74b6817f5","62%"
"6142589393c9f8b38086f20f","50%"
"61436594450b2f391b63b5ce","75%"
"614b126d78333df3905cfce8","88%"
"614df2dea090283ef5a09be2","56%"
"614dfeeecc516a80b2025a7d","88%"
"6150b1ab531874be26425a70","50%"
"6151a560fca061c58676693e","88%"
"6152c8dec5e715fe8a9e89b4","75%"
"6154852ab89835a5eb9c4e66","31%"
"6154d702c164d49259d6cc20","81%"
"61575baae7886f5555dbbb6b","69%"
"615ad3c92746f5417001bfc4","75%"
"615ae3c2462dcbab1d3af8d3","0%"
"615e8cae688ae33fe6406d83","75%"
"615f22d7b074765f50e937da","50%"
"615f388ccc257e70552d9b2e","94%"
"615f3ab4e6ab2fd0451875db","31%"
"615f480bea322c274ab65073","56%"
"616175dbc12b4681198a540f","0%"
"616323b9520ffc74cfc92c4e","0%"
"616362561686865ed3927d00","62%"
"6163b7cb7fff1e68acfddfab","75%"
"6163c84b2ac5757cbed5c68a","38%"
"61645fccc9e03464d67350e7","94%"
"61651678b1e8cb5079ebe9d2","94%"
"61687f084dd0608f43a02d0e","88%"
"6169262c8dd60e7f3216c016","19%"
"616d50472a9af48a47847e01","44%"
"617118971b29a7f27b2baec5","69%"
"6171aa5fff416f8783493856","69%"
"62a7383cd8923ffcc123f607","0%"
