response_id,n_hit,n_fa,n_miss,n_cr,dprime,beta,aprime,bppd,c
172,31,2,17,46,2.001145624,3.559641259,0.891479663,0.702746365,0.634466455
49,28,0,20,48,2.524829941,14.39795864,0.895833333,1,1.056343001
92,27,14,21,34,0.690250733,1.140963435,0.715958606,0.087248322,0.1910509
10,34,5,14,43,1.750851988,1.81117546,0.881839945,0.377713459,0.339249728
94,34,2,14,46,2.171215533,3.29674035,0.909207161,0.676056338,0.5494315
98,30,0,18,48,2.630677026,14.00861525,0.90625,1,1.003419458
93,38,1,10,47,2.663509339,4.214808569,0.940229563,0.779859485,0.540116062
105,33,3,15,45,1.94322978,2.60964697,0.893939394,0.571428571,0.493618903
133,42,2,6,46,2.748976482,2.046740734,0.955486542,0.465116279,0.260551026
55,35,0,13,48,2.914989736,12.3119841,0.932291667,1,0.861263103
74,36,3,12,45,2.123753743,2.355212062,0.9125,0.523809524,0.403356921
128,38,3,10,45,2.2568724,2.138509714,0.924707602,0.475728155,0.336797592
13,28,0,20,48,2.524829941,14.39795864,0.895833333,1,1.056343001
48,23,4,25,44,1.278351096,2.416968887,0.814476285,0.531291611,0.690353559
63,40,7,8,41,1.963935834,1.084755505,0.907469512,0.054365733,0.041424276
38,32,1,16,47,2.293262008,5.275981415,0.907081117,0.831842576,0.725239727
77,35,1,13,47,2.468102495,4.826897192,0.923708207,0.812749004,0.637819483
158,30,0,18,48,2.630677026,14.00861525,0.90625,1,1.003419458
85,34,0,14,48,2.854934237,12.73783591,0.927083333,1,0.891290852
21,39,0,9,48,3.182453624,10.12830696,0.953125,1,0.727531159
175,17,0,31,48,1.952651614,13.75362371,0.838541667,1,1.342432164
53,35,0,13,48,2.914989736,12.3119841,0.932291667,1,0.861263103
118,35,0,13,48,2.914989736,12.3119841,0.932291667,1,0.861263103
17,33,0,15,48,2.796753958,13.11923117,0.921875,1,0.920380992
117,30,0,18,48,2.630677026,14.00861525,0.90625,1,1.003419458
44,34,5,14,43,1.750851988,1.81117546,0.881839945,0.377713459,0.339249728
75,19,0,29,48,2.060124904,14.22319002,0.848958333,1,1.288695519
36,26,0,22,48,2.421248479,14.62989608,0.885416667,1,1.108133732
66,35,4,13,44,1.925760872,2.026028889,0.897564935,0.442155309,0.366648671
57,37,0,11,48,3.042233546,11.32044984,0.942708333,1,0.797641198
122,26,2,22,46,1.737529774,3.786433511,0.861204013,0.722891566,0.76627438
102,26,3,22,45,1.5677243,2.910144923,0.848931624,0.618104668,0.681371642
11,39,6,9,42,1.977632869,1.280746318,0.907967033,0.164179104,0.125120781
84,40,3,8,45,2.405777433,1.879759539,0.936805556,0.406593407,0.262345076
111,35,14,13,34,1.132408031,0.966567963,0.804411765,-0.022556391,-0.030027749
54,35,7,13,41,1.619623958,1.413289028,0.870731707,0.226415094,0.213580214
62,32,0,16,48,2.740149248,13.45746485,0.916666667,1,0.948683347
6,29,1,19,47,2.130503798,5.576182959,0.890315481,0.842809365,0.806618832
56,37,1,11,47,2.595346305,4.438167487,0.934732605,0.792951542,0.574197578
58,32,1,16,47,2.293262008,5.275981415,0.907081117,0.831842576,0.725239727
9,30,3,18,45,1.777152848,2.786561184,0.875,0.6,0.576657369
137,35,4,13,44,1.925760872,2.026028889,0.897564935,0.442155309,0.366648671
80,35,11,13,37,1.319707339,1.087587885,0.833590734,0.055684455,0.063621905
31,38,14,10,34,1.327814874,0.843999524,0.834365325,-0.112149533,-0.127731171
106,38,1,10,47,2.663509339,4.214808569,0.940229563,0.779859485,0.540116062
73,28,2,20,46,1.841111236,3.726404671,0.873447205,0.717791411,0.714483649
174,36,1,12,47,2.530390681,4.641909231,0.929225768,0.803757829,0.60667539
26,40,4,8,44,2.270072748,1.555057704,0.929545455,0.290322581,0.194492733
165,33,7,15,41,1.50138818,1.505952682,0.855506282,0.265984655,0.272698103
47,40,7,8,41,1.963935834,1.084755505,0.907469512,0.054365733,0.041424276
86,40,5,8,43,2.155219362,1.343673639,0.922238372,0.196261682,0.13706604
169,37,0,11,48,3.042233546,11.32044984,0.942708333,1,0.797641198
52,36,0,12,48,2.977277922,11.84013464,0.9375,1,0.83011901
99,34,2,14,46,2.171215533,3.29674035,0.909207161,0.676056338,0.5494315
167,35,1,13,47,2.468102495,4.826897192,0.923708207,0.812749004,0.637819483
160,21,4,27,44,1.17545464,2.391580281,0.798971861,0.526244953,0.741801787
15,36,0,12,48,2.977277922,11.84013464,0.9375,1,0.83011901
166,28,6,20,42,1.320009185,1.820653007,0.827380952,0.379310345,0.453932623
95,20,0,28,48,2.112686001,14.39795864,0.854166667,1,1.26241497
30,24,0,24,48,2.318757971,14.70693666,0.875,1,1.159378985
159,8,6,40,42,0.173393575,1.194964992,0.574404762,0.118881119,1.027240428
5,33,3,15,45,1.94322978,2.60964697,0.893939394,0.571428571,0.493618903
141,37,14,11,34,1.259651841,0.888726305,0.824523052,-0.078142695,-0.093649654
176,31,24,17,24,0.366106357,0.935179367,0.62936828,-0.044424297,-0.183053178
79,39,2,9,46,2.49873492,2.621355659,0.938266444,0.584650113,0.385671807
72,48,48,0,0,0,1,NA,0.812749004,-2.318757971
20,35,1,13,47,2.468102495,4.826897192,0.923708207,1,0.637819483
19,35,0,13,48,2.914989736,12.3119841,0.932291667,0.488372093,0.861263103
41,32,4,16,44,1.750920384,2.214526297,0.877840909,0.610169492,0.454068915
59,38,2,10,46,2.426677875,2.782447287,0.932494279,-0.007005254,0.42170033
144,21,25,27,23,-0.205252478,0.989495684,0.422962963,-0.558101473,0.051448228
64,0,0,48,48,0,1,NA,0.836236934,2.318757971
97,34,3,14,45,2.001410059,2.533780711,0.900163399,0.019567456,0.464528763
46,31,1,17,47,2.237977088,5.392090105,0.901509952,0.845140033,0.752882187
138,33,14,15,34,1.014172253,1.02994192,0.783645276,0.663619744,0.02909014
131,28,1,20,47,2.0779427,5.64470077,0.88468845,0.831842576,0.832899381
140,35,2,13,46,2.231271031,3.186523605,0.915062112,0.15114873,0.519403751
69,32,1,16,47,2.293262008,5.275981415,0.907081117,0.302325581,0.725239727
120,34,9,14,39,1.39987192,1.257647103,0.84407994,-0.228571429,0.163759694
68,42,3,6,45,2.579171008,1.573066617,0.948809524,1,0.175648289
88,45,43,3,5,0.250558071,0.714811449,0.611111111,0.465116279,-1.339954757
145,8,0,40,48,1.37821433,9.449937182,0.791666667,0.340314136,1.629650806
34,42,2,6,46,2.748976482,2.046740734,0.955486542,0.820267686,0.260551026
164,32,6,16,42,1.535328492,1.701725533,0.857886905,0.523809524,0.346272969
67,0,0,48,48,0,1,NA,1,2.318757971
45,34,1,14,47,2.408046997,4.993851832,0.918178974,0.582689335,0.667847232
89,36,3,12,45,2.123753743,2.355212062,0.9125,-0.332068311,0.403356921
129,33,0,15,48,2.796753958,13.11923117,0.921875,0.358208955,0.920380992
87,32,3,16,45,1.88662507,2.676927628,0.887673611,1,0.521921258
27,44,39,4,9,0.465833454,0.599992135,0.66729798,0.064935065,-1.09661238
61,35,5,13,43,1.810907486,1.750624175,0.888704319,0.363636364,0.309221978
168,36,0,12,48,2.977277922,11.84013464,0.9375,-0.103448276,0.83011901
155,30,6,18,42,1.42585627,1.771419693,0.842857143,0.073319756,0.40100908
107,39,12,9,36,1.522215604,0.855421603,0.860576923,0.542372881,-0.102587851
127,39,2,9,46,2.49873492,2.621355659,0.938266444,-0.057957682,0.385671807
121,31,13,17,35,0.962338121,1.117092387,0.773732719,-0.116504854,0.115062704
156,0,0,48,48,0,1,NA,1,2.318757971
81,35,3,13,45,2.061465557,2.44907126,0.906349206,0.255813953,0.434501014
126,16,25,32,23,-0.472569288,0.916241127,0.3396875,-0.839863714,0.185106633
124,35,25,13,23,0.545053753,0.838251953,0.680124224,0.610169492,-0.323704888
149,31,0,17,48,2.684864328,13.75362371,0.911458333,0.004389816,0.976325807
173,30,8,18,40,1.252462695,1.482403003,0.820833333,0.717791411,0.314312293
78,30,1,18,47,2.183789786,5.492059205,0.895921986,0.558101473,0.779975838
18,0,0,48,48,0,1,NA,0.592145015,2.318757971
136,38,2,10,46,2.426677875,2.782447287,0.932494279,0.526244953,0.42170033
125,26,21,22,27,0.256564974,1.006639261,0.594373219,0.571428571,0.02579198
70,28,2,20,46,1.841111236,3.726404671,0.873447205,0.501845018,0.714483649
101,34,3,14,45,2.001410059,2.533780711,0.900163399,0.708860759,0.464528763
100,31,3,17,45,1.831340149,2.735838859,0.881362007,0.384615385,0.549563718
110,27,4,21,44,1.483603574,2.391580281,0.843644781,0.084745763,0.58772732
171,33,3,15,45,1.94322978,2.60964697,0.893939394,0,0.493618903
83,37,3,11,45,2.188709367,2.251837569,0.918618619,0.186558517,0.370879109
150,18,2,30,46,1.323120212,3.625636843,0.809178744,0.442155309,0.973479161
23,27,6,21,42,1.268011682,1.837780492,0.819444444,0.663619744,0.479931374
147,32,12,16,36,1.079911228,1.136597282,0.795138889,0.542372881,0.118564337
96,27,21,21,27,0.308148934,1,0.611111111,1,6.94E-17
115,32,9,16,39,1.28508693,1.32869836,0.827123397,-0.073028238,0.221152188
135,35,4,13,44,1.925760872,2.026028889,0.897564935,0.118881119,0.366648671
142,35,2,13,46,2.231271031,3.186523605,0.915062112,1,0.519403751
43,35,3,13,45,2.061465557,2.44907126,0.906349206,0.214723926,0.434501014
14,36,0,12,48,2.977277922,11.84013464,0.9375,-0.116504854,0.83011901
132,34,19,14,29,0.794809333,0.895568146,0.739604462,0.174193548,-0.1387716
29,8,6,40,42,0.173393575,1.194964992,0.574404762,-0.019567456,1.027240428
108,21,0,27,48,2.164683504,14.53340501,0.859375,0.442155309,1.236416219
151,0,0,48,48,0,1,NA,0.421052632,2.318757971
3,15,8,33,40,0.462547654,1.38828766,0.660416667,0.848142165,0.709269814
152,35,25,13,23,0.545053753,0.838251953,0.680124224,-0.085714286,-0.323704888
116,35,8,13,40,1.536775405,1.302864121,0.861607143,0.379310345,0.172155938
154,34,33,14,15,0.058180279,0.970928535,0.524019608,0.235204856,-0.507086127
123,35,4,13,44,1.925760872,2.026028889,0.897564935,0.00621118,0.366648671
143,36,4,12,44,1.988049058,1.948382538,0.904040404,0.201668985,0.335504578
134,22,1,26,47,1.769380223,5.735631538,0.850338491,0.475728155,0.987180619
130,40,10,8,38,1.732182248,0.879004442,0.884868421,-0.116504854,-0.074452516
82,28,6,20,42,1.320009185,1.820653007,0.827380952,0.842809365,0.453932623
50,37,6,11,42,1.83741279,1.431495363,0.893983269,0.826568266,0.19523082
65,0,0,48,48,0,1,NA,0.848874598,2.318757971
113,21,20,27,28,0.051997503,1.009407331,0.520833333,0.620253165,0.180073218
119,36,7,12,41,1.681912144,1.359125568,0.878218157,1,0.182436121
35,38,3,10,45,2.2568724,2.138509714,0.924707602,0.475728155,0.336797592
12,35,23,13,25,0.647409776,0.838251953,0.705714286,1,-0.272526877
4,29,1,19,47,2.130503798,5.576182959,0.890315481,0.779859485,0.806618832
37,33,1,15,47,2.349866718,5.143377345,0.912637008,0.508379888,0.696937372
22,0,0,48,48,0,1,NA,0.064039409,2.318757971
39,25,1,23,47,1.923048742,5.758289231,0.867659574,-0.054365733,0.91034636
139,24,3,24,45,1.465233793,2.925469655,0.835416667,0.460122699,0.732616896
33,39,0,9,48,3.182453624,10.12830696,0.953125,0.421052632,0.727531159
25,38,3,10,45,2.2568724,2.138509714,0.924707602,0.695364238,0.336797592
104,29,0,19,48,2.577391038,14.22319002,0.901041667,0.460122699,1.030062452
7,38,1,10,47,2.663509339,4.214808569,0.940229563,0.582689335,0.540116062
24,36,10,12,38,1.450158558,1.101333348,0.851608187,0.713841369,0.066559329
16,41,8,7,40,1.963935834,0.92186672,0.907469512,0.803757829,-0.041424276
90,34,4,14,44,1.865705374,2.096105982,0.891042781,0.235294118,0.39667642
170,12,4,36,44,0.671009157,1.948382538,0.712121212,0.450127877,0.994024529
60,32,2,16,46,2.056430544,3.482990967,0.897418478,-1,0.606823995
161,34,4,14,44,1.865705374,2.096105982,0.891042781,1,0.39667642
76,32,3,16,45,1.88662507,2.676927628,0.887673611,0.846905537,0.521921258
153,0,0,48,48,0,1,NA,0.036437247,2.318757971
114,31,5,17,43,1.580782078,1.955608937,0.86084021,-0.277310924,0.424284682
2,29,2,19,46,1.893672334,3.681171965,0.879497751,0.610169492,0.6882031
91,36,1,12,47,2.530390681,4.641909231,0.929225768,0.695364238,0.60667539
103,27,9,21,39,1.01777012,1.434929358,0.782051282,0.022182786,0.354810593
177,27,5,21,43,1.368750188,2.066484974,0.83161068,0.615384615,0.530300627
146,0,0,48,48,0,1,NA,0.848874598,2.318757971
28,0,1,48,47,-0.44688724,0.392048686,0.244791667,-0.836236934,2.095314351
42,31,0,17,48,2.684864328,13.75362371,0.911458333,NA,0.976325807
148,27,1,21,47,2.025945198,5.697802339,0.879038613,NA,0.858898132
8,32,14,16,34,0.957567543,1.056495385,0.772977941,NA,0.057392495
109,43,10,5,38,2.006314329,0.654180016,0.908965728,NA,-0.211518557
51,38,2,10,46,2.426677875,2.782447287,0.932494279,NA,0.42170033
162,32,2,16,46,2.056430544,3.482990967,0.897418478,NA,0.606823995
40,24,29,24,19,-0.258633067,1.034011121,0.404813218,NA,-0.129316533
157,27,3,21,45,1.619308259,2.890951142,0.855555556,NA,0.655579663
71,25,1,23,47,1.923048742,5.758289231,0.867659574,NA,0.91034636
112,31,1,17,47,2.237977088,5.392090105,0.901509952,NA,0.752882187
163,0,0,48,48,0,1,NA,NA,2.318757971
